,nthreads,ssize,tot,mean,med,stdev
101,5.0,134217728.0,0.213547,0.0427094,0.042989,0.00352973
102,5.0,268435456.0,0.418812,0.0837625,0.08269,0.0045312
103,5.0,536870912.0,0.843578,0.168716,0.165425,0.00517569
104,5.0,1073741824.0,1.6718,0.33436,0.338145,0.00657659
105,6.0,1024.0,5.00679e-06,8.34465e-07,9.53674e-07,3.83204e-07
106,6.0,2048.0,5.24521e-06,8.74201e-07,4.76837e-07,9.60274e-07
107,6.0,4096.0,1.16825e-05,1.94709e-06,9.53674e-07,1.53539e-06
108,6.0,8192.0,2.45571e-05,4.09285e-06,2.02656e-06,3.02023e-06
109,6.0,16384.0,3.45707e-05,5.76178e-06,2.98023e-06,4.0283e-06
110,6.0,32768.0,7.58171e-05,1.26362e-05,6.4373e-06,9.11412e-06
111,6.0,65536.0,0.000132561,2.20935e-05,1.2517e-05,1.47098e-05
112,6.0,131072.0,0.000219345,3.65575e-05,2.5034e-05,1.69778e-05
113,6.0,262144.0,0.000459909,7.66516e-05,7.45058e-05,2.68916e-05
114,6.0,524288.0,0.000799179,0.000133197,0.000104785,4.37779e-05
115,6.0,1048576.0,0.00160027,0.000266711,0.000225544,7.6486e-05
116,6.0,2097152.0,0.00373101,0.000621835,0.000628471,0.000163728
117,6.0,4194304.0,0.0065887,0.00109812,0.000930071,0.000293844
118,6.0,8388608.0,0.013629,0.00227149,0.00195265,0.000565317
119,6.0,16777216.0,0.0303118,0.00505197,0.00377452,0.00195804
120,6.0,33554432.0,0.0585356,0.00975593,0.00954843,0.00175074
121,6.0,67108864.0,0.114199,0.0190332,0.0196824,0.00269533
122,6.0,134217728.0,0.240248,0.0400413,0.0395485,0.00157748
123,6.0,268435456.0,0.476067,0.0793445,0.0794489,0.00243883
124,6.0,536870912.0,0.958622,0.15977,0.160092,0.00185628
125,6.0,1073741824.0,1.91555,0.319258,0.317118,0.00503099
126,7.0,1024.0,4.76837e-06,6.81196e-07,9.53674e-07,6.67433e-07
127,7.0,2048.0,7.86781e-06,1.12397e-06,9.53674e-07,1.00923e-06
128,7.0,4096.0,1.4782e-05,2.11171e-06,9.53674e-07,1.38687e-06
129,7.0,8192.0,4.8399e-05,6.91414e-06,2.14577e-06,6.69515e-06
130,7.0,16384.0,4.24385e-05,6.06264e-06,3.09944e-06,4.00952e-06
131,7.0,32768.0,0.000101328,1.44754e-05,5.00679e-06,1.12102e-05
132,7.0,65536.0,0.000165939,2.37056e-05,1.09673e-05,1.54722e-05
133,7.0,131072.0,0.000240803,3.44004e-05,2.19345e-05,1.60826e-05
134,7.0,262144.0,0.00061202,8.74315e-05,9.10759e-05,3.70778e-05
135,7.0,524288.0,0.000862837,0.000123262,9.29832e-05,4.2078e-05
136,7.0,1048576.0,0.00172424,0.00024632,0.0002141,7.39512e-05
137,7.0,2097152.0,0.00421524,0.000602177,0.000636101,0.000182824
138,7.0,4194304.0,0.00705934,0.00100848,0.000793934,0.000296273
139,7.0,8388608.0,0.0147965,0.00211379,0.00201201,0.000463714
140,7.0,16777216.0,0.0303001,0.00432859,0.00347805,0.00104887
141,7.0,33554432.0,0.062705,0.00895786,0.00854278,0.00163204
142,7.0,67108864.0,0.134193,0.0191705,0.01898,0.00282347
143,7.0,134217728.0,0.270512,0.0386446,0.0403271,0.00293052
144,7.0,268435456.0,0.54084,0.0772628,0.0779481,0.00273068
145,7.0,536870912.0,1.08205,0.154579,0.155718,0.00248202
146,7.0,1073741824.0,2.17491,0.310702,0.311822,0.00377117
147,8.0,1024.0,1.66893e-05,2.08616e-06,9.53674e-07,3.73897e-06
148,8.0,2048.0,8.58307e-06,1.07288e-06,1.07288e-06,7.63312e-07
149,8.0,4096.0,1.43051e-05,1.78814e-06,1.54972e-06,1.24458e-06
150,8.0,8192.0,3.17097e-05,3.96371e-06,4.05312e-06,2.64671e-06
151,8.0,16384.0,9.25064e-05,1.15633e-05,9.41753e-06,9.30749e-06
152,8.0,32768.0,0.000123024,1.5378e-05,1.45435e-05,1.12563e-05
153,8.0,65536.0,0.000176907,2.21133e-05,1.95503e-05,1.28949e-05
154,8.0,131072.0,0.000273943,3.42429e-05,3.3021e-05,1.56446e-05
155,8.0,262144.0,0.000590324,7.37906e-05,7.51019e-05,1.53664e-05
