,nthreads,ssize,tot,mean,med,stdev
131,7.0,32768.0,0.00010705,1.94822e-05,1.90735e-05,1.42504e-05
132,7.0,65536.0,0.000108957,2.22751e-05,1.09673e-05,1.83371e-05
133,7.0,131072.0,0.000128031,4.0429e-05,4.1008e-05,1.93078e-05
134,7.0,262144.0,0.000188112,6.74043e-05,6.8903e-05,1.97905e-05
135,7.0,524288.0,0.000239134,0.000119073,9.10759e-05,3.74103e-05
136,7.0,1048576.0,0.000430107,0.000252928,0.000188828,8.86499e-05
137,7.0,2097152.0,0.00070405,0.000463588,0.000365019,0.000132688
138,7.0,4194304.0,0.00133896,0.000937939,0.000741005,0.000261849
139,7.0,8388608.0,0.00266194,0.00194607,0.00156593,0.000481163
140,7.0,16777216.0,0.00548196,0.00386381,0.00279713,0.00123934
141,7.0,33554432.0,0.0104811,0.00791911,0.00641894,0.00192061
142,7.0,67108864.0,0.01984,0.017664,0.016628,0.00172777
143,7.0,134217728.0,0.0386,0.0350055,0.0338631,0.00220982
144,7.0,268435456.0,0.0791962,0.0702342,0.067554,0.00541581
145,7.0,536870912.0,0.164175,0.143288,0.141619,0.0162484
146,7.0,1073741824.0,0.865888,0.630086,0.640423,0.183091
147,8.0,1024.0,0.00018692,5.06639e-07,4.76837e-07,5.11872e-07
148,8.0,2048.0,8.79765e-05,7.15256e-07,4.76837e-07,7.90745e-07
149,8.0,4096.0,9.70364e-05,2.26498e-06,2.98023e-06,1.3328e-06
150,8.0,8192.0,0.00011301,6.02007e-06,3.09944e-06,8.51137e-06
151,8.0,16384.0,0.000149012,5.1558e-06,2.14577e-06,5.1742e-06
152,8.0,32768.0,0.000101089,1.69575e-05,5.00679e-06,1.73229e-05
153,8.0,65536.0,0.000101089,1.56462e-05,9.53674e-06,1.15417e-05
154,8.0,131072.0,0.000145912,4.39882e-05,3.19481e-05,2.70093e-05
155,8.0,262144.0,0.000175953,6.38962e-05,5.54323e-05,3.0228e-05
156,8.0,524288.0,0.000265121,0.000130594,0.000106573,5.95418e-05
157,8.0,1048576.0,0.000405073,0.000222147,0.00019002,6.41126e-05
158,8.0,2097152.0,0.000633001,0.000421077,0.000420451,0.000123996
159,8.0,4194304.0,0.00118899,0.000847936,0.000855088,0.00022569
160,8.0,8388608.0,0.00249004,0.00180987,0.00180459,0.000459659
161,8.0,16777216.0,0.00513792,0.00378346,0.00373292,0.000903026
162,8.0,33554432.0,0.00946498,0.00748554,0.0074091,0.0015991
163,8.0,67108864.0,0.0192039,0.0165463,0.0175494,0.00200568
164,8.0,134217728.0,0.0366299,0.0336123,0.0335709,0.00266463
165,8.0,268435456.0,0.076684,0.0710147,0.070477,0.00229242
166,8.0,536870912.0,0.159912,0.143823,0.142653,0.0085774
167,8.0,1073741824.0,0.782595,0.563206,0.581331,0.175697
